案件名,伊藤邸　改装工事
顧客名,橘工務店
採用見積方式,壁紙別合算方式
採用正式見積金額(円),115000

壁紙別集計
壁紙No.,壁紙名称,壁紙別面積(m2),壁面面積(m2),天井面積(m2),必要面積(m2),ロス率(%),壁紙別合算方式ロール本数,壁紙別合算方式金額(円),部屋別積上方式ロール本数,部屋別積上方式金額(円)
001,標準壁紙,265.39,265.39,0.00,286.62,8.0,7,82600,14,165200
002,ホワイト,113.01,0.00,113.01,122.05,8.0,3,32400,20,216000

部屋別明細
No.,階,部屋名,周長(m),天井高(m),開口部(m2),天井(m2),1面壁紙,2面壁紙,3面壁紙,4面壁紙,天井壁紙,集計対象外,必要面積(m2),部屋別積上方式ロール本数,備考
1,1F,LDK,22.38,2.40,5.00,33.12,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,88.39,3,根拠: 展開図と平面図から確認。開口は大型の窓と扉による推定。 / AI信頼度: 0.90
2,1F,階段室,5.46,2.40,0.50,1.66,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,15.40,2,根拠: 展開図と階段の追加開口を推定。 / AI信頼度: 0.80
3,1F,パントリー,4.66,2.40,0.50,1.22,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,12.44,2,根拠: パントリー特有の開き扉を想定。 / AI信頼度: 0.70
4,1F,ホール,11.14,2.40,2.00,7.87,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,35.22,2,根拠: 主要開口は扉と窓、図面に基づく推定。 / AI信頼度: 0.85
5,1F,脱衣ランドリールーム,7.37,2.40,1.00,2.48,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,18.08,2,根拠: 開口は窓と内扉を推定。 / AI信頼度: 0.80
6,1F,玄関,4.70,2.40,1.50,2.48,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,13.24,2,根拠: 標準的な玄関ドアおよび窓を前提。 / AI信頼度: 0.85
7,1F,SIC,4.54,2.40,0.80,1.86,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,12.90,2,根拠: 平面図内の開口配置に基づいて推測。 / AI信頼度: 0.80
8,1F,トイレ,4.41,2.40,0.60,1.45,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,12.36,2,根拠: 小型開口を考慮した配置。 / AI信頼度: 0.85
9,1F,PS,0.00,0.00,0.00,0.23,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,0.25,1,抽出失敗: 表ページから天井面積 0.23m2 を反映。壁面・開口部を入力してください
10,1F,収納 一式,0.00,0.00,0.00,3.72,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,4.02,1,抽出失敗: 表ページから天井面積 3.72m2 を反映。壁面・開口部を入力してください
11,2F,主寝室,15.00,2.40,3.00,12.42,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,49.03,2,根拠: 大窓を前提とした開口控除。 / AI信頼度: 0.90
12,2F,洋室2,12.52,2.40,2.40,8.80,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,38.79,2,根拠: 類似構成の他室と同様に配置。 / AI信頼度: 0.85
13,2F,洋室1,12.52,2.40,2.40,8.80,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,38.79,2,根拠: 洋室2と同様の構造に基づく。 / AI信頼度: 0.85
14,2F,ファミリークローゼット,11.50,2.40,1.00,6.62,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,35.89,2,根拠: クローゼット特有の小開口を想定。 / AI信頼度: 0.80
15,2F,トイレ,4.41,2.40,0.60,1.45,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,13.54,2,根拠: まわりのミニマルな開口を基に推定。 / AI信頼度: 0.85
16,2F,廊下,0.00,0.00,0.00,7.45,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,8.05,1,抽出失敗: 表ページから天井面積 7.45m2 を反映。壁面・開口部を入力してください
17,2F,階段室,0.00,0.00,0.00,2.90,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,3.13,1,抽出失敗: 表ページから天井面積 2.90m2 を反映。壁面・開口部を入力してください
18,,2F 吹抜,0.00,0.00,0.00,6.62,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,7.15,1,抽出失敗: 表ページから天井面積 6.62m2 を反映。壁面・開口部を入力してください
19,2F,CL 1,0.00,0.00,0.00,0.93,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,1.00,1,抽出失敗: 表ページから天井面積 0.93m2 を反映。壁面・開口部を入力してください
20,2F,CL 2,0.00,0.00,0.00,0.93,001：標準壁紙,001：標準壁紙,001：標準壁紙,001：標準壁紙,002：ホワイト,,1.00,1,抽出失敗: 表ページから天井面積 0.93m2 を反映。壁面・開口部を入力してください

合計必要面積(m2),408.67
壁紙別合算方式ロール本数,10
壁紙別合算方式金額(円),115000
部屋別積上方式ロール本数,34
部屋別積上方式金額(円),381200
採用見積方式,壁紙別合算方式
採用正式見積金額(円),115000
